"Category","Assessor parcel number","Building classification","Year built","Acres","Building sq.ft."
"Existing","111014124","distribution warehouse","2017","9","205000"
"Existing","3271025081","Warehousing, Distribution, Storage","1998","9","205000"
"Existing","7315036033","Warehousing, Distribution, Storage","1980","9","205000"
"Existing","8005023019","Warehousing, Distribution, Storage","1989","9","205000"
"Existing","8264011013","Warehousing, Distribution, Storage","1988","9","205000"
"Existing","414-161-06","warehouse","1980","9","205000"
"Existing","302160030","warehouse/dry storage","2017","9","204000"
"Existing","305090047","light industrial","1980","9","204000"
"Existing","021123221","light industrial","1987","9","204000"
"Existing","022926362","light industrial","1991","9","204000"
"Existing","023709108","storage warehouse","1990","9","204000"
"Existing","023809192","distribution warehouse","1999","9","204000"
"Existing","023205129","transit warehouse (truck terminal)","2018","9","204000"
"Existing","058527314","light industrial","1980","9","204000"
"Existing","102253112","improvements ass'd associated apn","1991","9","204000"
"Existing","102217133","light industrial","1980","9","204000"
"Existing","7306006040","Warehousing, Distribution, Storage","1980","8","204000"
"Existing","8069018050","Warehousing, Distribution, Storage","1980","9","204000"
"Existing","8082033038","Warehousing, Distribution, Storage","1980","9","204000"
"Existing","224-271-24","warehouse","2010","9","204000"
"Existing","316200042","warehouse/dry storage","1980","8","203000"
"Existing","101170045","warehouse/dry storage","1980","8","203000"
"Existing","167160013","light industrial","2000","8","203000"
"Existing","118160027","light industrial","1980","8","203000"
"Existing","021127501","distribution warehouse","2000","8","203000"
"Existing","023010133","transit warehouse (truck terminal)","2005","8","203000"
"Existing","023814315","improvements ass'd associated apn","2002","8","203000"
"Existing","024024152","distribution warehouse","2018","8","203000"
"Existing","025502135","distribution warehouse","2021","8","203000"
"Existing","029205132","storage warehouse","2021","8","203000"
"Existing","105511103","distribution warehouse","2017","8","203000"
"Existing","105602107","distribution warehouse","2004","8","203000"
"Existing","2212001017","Warehousing, Distribution, Storage","2006","8","203000"
"Existing","6332002019","Warehousing, Distribution, Storage","1980","8","203000"
"Existing","6375025021","Warehousing, Distribution, Storage","1980","8","203000"
"Existing","7306014054","Warehousing, Distribution, Storage","1980","8","203000"
"Existing","7424017044","Warehousing, Distribution, Storage","1989","8","203000"
"Existing","8026041050","Warehousing, Distribution, Storage","1980","8","203000"
"Existing","8760024035","Warehousing, Distribution, Storage","1991","8","203000"
"Approved","R+L Carriers Anaheim Transit Facility Project","https://ceqanet.opr.ca.gov/2024100745","2027","8","203000"
"Existing","144010046","warehouse/dry storage","2018","8","202000"
"Existing","294040035","warehouse/dry storage","2020","8","202000"
"Existing","360230023","warehouse/dry storage","2000","8","202000"
"Existing","013220104","distribution warehouse","2023","8","202000"
"Existing","023808164","distribution warehouse","1987","8","202000"
"Existing","023817435","distribution warehouse","1999","8","202000"
"Existing","026020105","cold storage facility","2012","8","202000"
"Existing","027819141","distribution warehouse","2023","8","202000"
"Existing","3271031015","Warehousing, Distribution, Storage","2020","8","202000"
"Existing","7315032043","Warehousing, Distribution, Storage","1998","8","202000"
"Existing","410-024-06","warehouse","1980","8","202000"
"Existing","131-651-38","warehouse","1980","8","202000"
"Approved","Old 215 Business Park","https://ceqanet.opr.ca.gov/2021060425","2027","8","202000"
"Approved","Victoria Avenue and Cypress Street Warehouse Project","https://ceqanet.opr.ca.gov/2022080147","2027","8","202000"
"Existing","857140019","warehouse/dry storage","1980","8","201000"
"Existing","360350031","warehouse/dry storage","2009","8","201000"
"Existing","316100064","light industrial","2022","8","201000"
"Existing","442160005","light industrial","1980","8","201000"
"Existing","115590017","light industrial","2001","8","201000"
"Existing","021813139","cold storage facility","1980","8","201000"
"Existing","023817183","distribution warehouse","2022","8","201000"
"Existing","306459120","storage warehouse","1983","8","201000"
"Existing","4056031015","Warehousing, Distribution, Storage","2004","8","201000"
"Existing","6334025015","Warehousing, Distribution, Storage","2008","8","201000"
"Existing","6340006072","Warehousing, Distribution, Storage","1980","8","201000"
"Existing","7318024016","Warehousing, Distribution, Storage","1984","8","201000"
"Existing","7352008085","Warehousing, Distribution, Storage","2013","8","201000"
"Existing","296-351-20","warehouse","1990","8","201000"
"Existing","131-651-28","warehouse","1980","8","201000"
"Existing","591-072-03","warehouse","2018","8","201000"
"Existing","386-373-03","warehouse","1980","8","201000"
"Approved","Gardena Industrial Center Project","https://ceqanet.opr.ca.gov/2022100279","2027","8","201000"
"Existing","175210061","warehouse/dry storage","2005","8","200000"
"Existing","249050027","light industrial","1980","8","200000"
"Existing","921020046","light industrial","1986","8","200000"
"Existing","115590003","light industrial","2000","8","200000"
"Existing","016420116","distribution warehouse","2017","8","200000"
"Existing","021127502","flex","2000","8","200000"
"Existing","023611138","distribution warehouse","2021","8","200000"
"Existing","026002159","light industrial","1982","8","200000"
"Existing","041008205","light industrial","2008","8","200000"
"Existing","111804122","","2004","8","200000"
"Existing","6375009011","Warehousing, Distribution, Storage","1980","8","200000"
"Existing","7315004045","Warehousing, Distribution, Storage","1980","8","200000"
"Existing","8168027009","Warehousing, Distribution, Storage","1998","8","200000"
"Existing","8208006051","Warehousing, Distribution, Storage","2018","8","200000"
